Observation,a_443,S_mod1,SR,r2_mod1,Station_name,Station_name_norsk,Station_code,Depth,Date,Comment
VT71Skinnbrokleia_210824_30m,0.022565035,0.023116835,1.15953985,0.991821983,Skinnbrokleia,Skinnbrokleia,VT71,30,24/08/2021,
VR54_Straumsfjorden_210804_10m,0.023631033,0.027208205,1.23407837,0.990146406,straumsfjorden,straumsfjorden,VR54,10,04/08/2021,
VR54_Straumsfjorden_210804_20m,0.032520905,0.023813024,1.319715194,0.993480924,straumsfjorden,straumsfjorden,VR54,20,04/08/2021,
VR54_Straumsfjorden_210804_30m,0.034485758,0.020993792,1.370186787,0.995623826,straumsfjorden,straumsfjorden,VR54,30,04/08/2021,
VT71Skinnbrokleia_210824_10m,0.036106756,0.020574391,1.271966494,0.994647977,Skinnbrokleia,Skinnbrokleia,VT71,10,24/08/2021,
VT71Skinnbrokleia_210712_30m,0.036668747,0.021945506,1.260223521,0.992501429,Skinnbrokleia,Skinnbrokleia,VT71,30,12/07/2021,
VR58Ullsfjorden_210803_30m,0.04045751,0.020737409,1.505492606,0.993789919,Ullsfjorden,Ullsfjorden,VR58,30,03/08/2021,i_010721_flaske
VR58Ullsfjorden_210803_10m,0.042636464,0.021311874,1.456279618,0.99500093,Ullsfjorden,Ullsfjorden,VR58,10,03/08/2021,i_010721_flaske
VT71Skinnbrokleia_210824_20m,0.04483447,0.021437868,1.339031094,0.993672203,Skinnbrokleia,Skinnbrokleia,VT71,20,24/08/2021,
VT71Skinnbrokleia_210712_20m,0.049701426,0.021257034,1.283706935,0.994876662,Skinnbrokleia,Skinnbrokleia,VT71,20,12/07/2021,
VR58Ullsfjorden_210803_5m,0.055604565,0.020546494,1.457849121,0.995030618,Ullsfjorden,Ullsfjorden,VR58,5,03/08/2021,i_010721_flaske
VR58_210603_20m,0.058941676,0.019244943,1.544501538,0.993598353,Ullsfjorden,Ullsfjorden,VR58,20,03/06/2021,
VR58_Ullsfjorden_211014_20m,0.062034815,0.018255159,1.537018283,0.994714033,Ullsfjorden,Ullsfjorden,VR58,20,14/10/2021,
VR54_Straumsfjorden_210503_30m,0.06519738,0.019472942,1.545413427,0.993473904,straumsfjorden,Straumsfjorden,VR54,30,03/05/2021,
VT16_210714_10m,0.067085211,0.019931225,1.406304189,0.997178318,Kyrkjeboe,Kyrkjebø,VT16,10,14/07/2021,
VT16_210624_30m,0.067645119,0.019575894,1.864245259,0.996874008,Kyrkjeboe,Kyrkjebø,VT16,30,24/06/2021,
VT71Skinnbrokleia_210824_0m,0.068353161,0.019498088,1.329188937,0.996936263,Skinnbrokleia,Skinnbrokleia,VT71,0,24/08/2021,
VR54_Straumsfjorden_210804_5m_v3,0.069129483,0.017690262,1.239925136,0.998482171,straumsfjorden,straumsfjorden,VR54,5,04/08/2021,good
VR21_Bugoynes_210812_30m,0.070485138,0.018160709,1.692954421,0.996107096,Bugoeynes,Bugøynes,VR21,30,12/08/2021,
VR21_210707_30m,0.071032125,0.018577211,1.594742479,0.994124303,Bugoeynes,Bugøynes,VR21,30,07/07/2021,
VR58_Ullsfjorden_211014_30m,0.071884736,0.017455565,1.585445203,0.994867879,Ullsfjorden,Ullsfjorden,VR58,30,14/10/2021,"Wrote wrongly the date in the Cary,  instead of 211014 it says the analysis date 211126 . I Changed the name already in the csv file "
VR21_Bugoynes_211020_30m,0.071947448,0.01814196,1.811543972,0.99667234,Bugoeynes,Bugøynes,VR21,30,20/10/2021,
VR58Ullsfjorden_210803_20m,0.072189244,0.019711352,1.661371995,0.995640921,Ullsfjorden,Ullsfjorden,VR58,20,03/08/2021,i_010721_flaske
VR54_Straumsfjorden_210830_30m,0.07541095,0.01880863,1.663107161,0.997367514,Straumsfjorden,Straumsfjorden,VR54,30,30/08/2021,
VR21_Bugoynes_210916_5m,0.076533497,0.018631579,1.575351128,0.997840489,Bugoeynes,Bugøynes,VR21,5,16/09/2021,
VR58_Ullsfjorden_210902_30m,0.078935139,0.019045254,1.665413274,0.997832212,Ullsfjorden,Ullsfjorden,VR58,30,02/09/2021,
VR54_Straumsfjorden_210830_10m,0.082142802,0.019152118,1.546261222,0.998293033,Straumsfjorden,Straumsfjorden,VR54,10,30/08/2021,
VT71Skinnbrokleia_210824_5m,0.084420463,0.019188235,1.459488718,0.997076728,Skinnbrokleia,Skinnbrokleia,VT71,5,24/08/2021,
VT71Skinnbrokleia_210617_10m,0.084915287,0.01907616,1.324869154,0.996289063,Skinnbrokleia,Skinnbrokleia,VT71,10,17/06/2021,
VR58Ullsfjorden_210803_0m,0.086253135,0.018382295,1.630170093,0.996799437,Ullsfjorden,Ullsfjorden,VR58,0,03/08/2021,i_010721_flaske
VR21_Bugoynes_210812_20m,0.089268659,0.01687625,1.718719119,0.997980191,Bugoeynes,Bugøynes,VR21,20,12/08/2021,
VT71Skinnbrokleia_210712_0m,0.091418999,0.019104889,1.25963652,0.998161461,Skinnbrokleia,Skinnbrokleia,VT71,0,12/07/2021,
VT16_Kyrkjebo_210818_5m,0.091520189,0.017195232,1.402995753,0.998094816,Kyrkjeboe,Kyrkjebø,VT16,5,18/08/2021,
VT16_210624_10m,0.091541238,0.017375908,1.424175182,0.997394146,Kyrkjeboe,Kyrkjebø,VT16,10,24/06/2021,
VR58_210603_5m,0.09272818,0.01654033,1.608671982,0.99657685,Ullsfjorden,Ullsfjorden,VR58,5,03/06/2021,
VR21_Bugoynes_211020_0m,0.092920873,0.016387601,1.856186237,0.99808108,Bugoeynes,Bugøynes,VR21,0,20/10/2021,
VR21_Bugoynes_210916_30m,0.095912194,0.016910738,1.854832745,0.997953965,Bugoeynes,Bugøynes,VR21,30,16/09/2021,
VT16_210714_0m,0.096099198,0.019100472,1.391478889,0.997886237,Kyrkjeboe,Kyrkjebø,VT16,0,14/07/2021,
VT16_210624_20m,0.097122954,0.017781492,1.445363655,0.997324927,Kyrkjeboe,Kyrkjebø,VT16,20,24/06/2021,
VR58_210603_30m,0.098643316,0.01790169,1.90715805,0.994072955,Ullsfjorden,Ullsfjorden,VR58,30,03/06/2021,
VR54_Straumsfjorden_210830_20m,0.098805062,0.016918618,1.678650639,0.998297202,Straumsfjorden,Straumsfjorden,VR54,20,30/08/2021,
